source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
4252499144794847488,282.77593236418176,-6.3387899315352065,18.440025,18.399406,16.743574
4252501996653340544,282.7564130355765,-6.335076934836768,20.208721,19.384375,18.529991
4252499144794842624,282.7781197282745,-6.337274567318665,16.97761,17.434032,16.03915
4252499728910395136,282.83339514856453,-6.288741360671674,20.058985,19.694477,18.529861
4252502031013341568,282.72811364994305,-6.332446357194093,20.650265,,
4252501996653340160,282.7501781512002,-6.3406235050373345,16.177454,16.63569,15.423771
4252499625830972160,282.8362801650892,-6.307292593450665,19.973864,19.488243,18.19204
4252501996653339904,282.7523981174443,-6.338666886177125,18.33547,,
4252499694550656128,282.8222508376151,-6.298747712484999,19.97161,,
4252499179154580736,282.78805477335067,-6.328887072187448,20.541855,,
4252499522751807360,282.82229727139867,-6.314373142225077,19.414507,19.796864,18.189608
4252499591471441280,282.81145058200684,-6.308160003121905,19.559353,,
4252499660190710016,282.8425045777609,-6.301851847542749,19.662525,19.380556,18.420149
4252499110434891392,282.80543240762677,-6.334915907934076,19.726782,19.972397,18.705761
4252502129720685440,282.77627769830104,-6.316853777503075,16.03771,16.515621,15.341952
4252499522751756672,282.82845986518987,-6.314216034503446,19.994335,,
4252499415301355392,282.8367364289427,-6.31472686581821,18.228485,18.66423,17.246609
4252502134092294528,282.776464413377,-6.317384531591956,19.030123,,
4252502065373063936,282.7417113856608,-6.322252522833499,19.151123,19.07652,17.514317
4252501996653340928,282.75854116735786,-6.33317470137435,20.54785,,
4252499076075153152,282.7899666579301,-6.34851586955983,18.526428,19.034021,17.401354
4252499144794841088,282.77637530921953,-6.339334811004889,18.496864,18.527832,17.150509
4252499557111701632,282.8034746399422,-6.3153854430038745,18.907084,19.214605,17.780077
4252499660190704640,282.84972492321486,-6.295850792679695,20.660992,,
4252499660190704768,282.8413996916738,-6.303175209410409,19.729258,19.717543,18.463737
4252499621459784320,282.8301243720874,-6.314891024175257,19.617949,,
4252499488392013184,282.8128024003281,-6.328431409380703,19.946356,,
4252499522751750656,282.8268921035437,-6.316084302076475,19.490261,,
4252499179154583424,282.7908531787023,-6.325366420747812,18.00414,,
4252502031013339520,282.73243125042086,-6.328924432799438,19.852741,19.704895,18.282108
4252502134092295552,282.7721931982555,-6.32069706870712,19.34161,19.22969,17.656942
4252501206379146496,282.84443071197626,-6.279363668212092,18.945688,,
4252499488392011776,282.808419807929,-6.33246267125688,20.41384,,
